iteration,defender_return,adversary_return,peak_cyber,peak_cbrn,peak_rogue,peak_loss_control,min_cbf_margin,cbf_violation_rate,defender_policy_loss,adversary_policy_loss
1.0,-33.4702262878418,32.893798828125,0.18000000715255737,0.3504854440689087,0.5589156746864319,0.6978980898857117,0.692378580570221,0.125,-0.014204509556293488,-0.017243482172489166
2.0,-33.091087341308594,32.507266998291016,0.18000000715255737,0.3467157483100891,0.4680370092391968,0.6686475872993469,0.7026250958442688,0.1354166716337204,-0.020621180534362793,-0.010641808621585369
3.0,-33.153018951416016,32.55508804321289,0.18000000715255737,0.3527754247188568,0.5037740468978882,0.6779180765151978,0.6982462406158447,0.1354166716337204,-0.022768670693039894,-0.01864784210920334
4.0,-33.2835578918457,32.71637725830078,0.18000000715255737,0.34784215688705444,0.5451938509941101,0.693096935749054,0.6975950002670288,0.1458333283662796,-0.013020257465541363,-0.010190322995185852
5.0,-35.88413619995117,35.28234100341797,0.18000000715255737,0.35026413202285767,0.6603778600692749,0.7581876516342163,0.6598458290100098,0.1666666716337204,-0.02702018804848194,-0.007488067727535963
6.0,-35.327667236328125,34.74156951904297,0.18000000715255737,0.3410843014717102,0.681225061416626,0.7587904334068298,0.6639536619186401,0.1458333283662796,-0.015540894120931625,-0.016945170238614082
7.0,-36.23323440551758,35.63604736328125,0.18000000715255737,0.35178059339523315,0.7642258405685425,0.7943333387374878,0.6484460234642029,0.1666666716337204,-0.005429420154541731,-0.003875965951010585
8.0,-34.529815673828125,33.93712615966797,0.18000000715255737,0.35240185260772705,0.5725111961364746,0.7148379683494568,0.6809120178222656,0.15625,-0.025541020557284355,-0.006676819641143084
9.0,-36.71293258666992,36.093692779541016,0.18000000715255737,0.3491154909133911,0.7545791268348694,0.7945587038993835,0.645854651927948,0.15625,-0.007201517466455698,-0.00019543866801541299
10.0,-33.952640533447266,33.36538314819336,0.18000000715255737,0.34448006749153137,0.5805875062942505,0.7106978893280029,0.6872053742408752,0.1458333283662796,-0.019897565245628357,-0.011032898910343647
11.0,-35.85095977783203,35.26008987426758,0.18000000715255737,0.34945914149284363,0.7052987813949585,0.7672045230865479,0.6623466610908508,0.1458333283662796,0.007877090014517307,-0.02223755232989788
12.0,-35.63961410522461,35.0517692565918,0.18000000715255737,0.34981489181518555,0.7186134457588196,0.7749866247177124,0.6597377061843872,0.1354166716337204,-0.01078609749674797,-0.008289922028779984
13.0,-34.71769332885742,34.11896896362305,0.18000000715255737,0.3483962416648865,0.6518568992614746,0.7411621809005737,0.6697004437446594,0.15625,-0.020479915663599968,-0.0029670882504433393
14.0,-34.43443298339844,33.84636306762695,0.18000000715255737,0.3483135998249054,0.5642070174217224,0.7075988054275513,0.6867415904998779,0.15625,-0.002053390024229884,-0.007875804789364338
15.0,-35.65607833862305,35.052581787109375,0.18000000715255737,0.3478480279445648,0.7114583849906921,0.771830141544342,0.6557005047798157,0.15625,-0.0030266009271144867,-0.022044509649276733
16.0,-35.76987075805664,35.17950439453125,0.18000000715255737,0.34436845779418945,0.6841592192649841,0.7574361562728882,0.666082501411438,0.1666666716337204,-0.004703407641500235,-0.019317174330353737
17.0,-34.56356430053711,33.9832878112793,0.18000000715255737,0.3434229791164398,0.6448487639427185,0.7369155287742615,0.6734461784362793,0.1458333283662796,-0.010203983634710312,-0.010496539063751698
18.0,-35.65287399291992,35.06062698364258,0.18000000715255737,0.3504639267921448,0.6824329495429993,0.7610648274421692,0.6646846532821655,0.1458333283662796,-0.0071904659271240234,-0.004053930286318064
19.0,-35.084251403808594,34.501705169677734,0.18000000715255737,0.34806540608406067,0.6833838820457458,0.7509477138519287,0.6721957325935364,0.125,-0.012747228145599365,-0.00030939033604227006
20.0,-35.29271697998047,34.683921813964844,0.18000000715255737,0.34441015124320984,0.6288869380950928,0.7412683963775635,0.6727639436721802,0.1458333283662796,-0.006169734988361597,-0.017125502228736877
21.0,-33.64501953125,33.03531265258789,0.18000000715255737,0.3529054820537567,0.5317318439483643,0.6923348307609558,0.6905320286750793,0.1458333283662796,-0.003364586504176259,-0.005479179322719574
22.0,-34.042476654052734,33.43090057373047,0.18000000715255737,0.3436158001422882,0.5329419374465942,0.6957440972328186,0.6911980509757996,0.15625,-0.007415744010359049,-0.002161844400689006
