lambda,cyber_peak,cyber_delta_pct,cbrn_peak,cbrn_delta_pct
0.0,2067.828804187513,0.0,633.4698318677579,0.0
0.1,2098.947562316384,1.5049001187067823,643.2041377985774,1.5366644852081435
0.2,2128.253105422431,2.9221133351346142,653.0384999181033,3.089123911812512
0.30000000000000004,2153.6367221046944,4.149662570876937,662.96027459483,4.655382347115234
0.4,2175.904876124551,5.226548335054401,672.9591755084072,6.233815985240638
0.5,2195.7413492215137,6.185838246133718,683.0267431755485,7.823089406116511
0.6000000000000001,2213.666974440782,7.052719739561382,693.1559448024876,9.422092407896976
0.7000000000000001,2230.086980718736,7.846789647316915,703.3409324727888,11.029901834317682
0.8,2245.310117462574,8.582979060725318,713.5766331954942,12.64571685940354
0.9,2259.5807257180286,9.273104289010924,723.8587925903753,14.268865883653772
1.0,2273.088708461351,9.926349021648734,734.1837307591649,15.898767995700206
